street,x,y,type,hour,week_day,day_type,day,month,year,minute
Av. Edmundo Pérez Zujovic,-70.394849,-23.623362,JAM,7,0,s,26,8,2024,37
Av. Edmundo Pérez Zujovic,-70.395175,-23.575048,JAM,7,0,s,26,8,2024,35
Av. Pedro Aguirre Cerda,-70.390828,-23.569726,JAM,7,0,s,26,8,2024,46
Av. Edmundo Pérez Zujovic,-70.393465,-23.577259,JAM,7,0,s,26,8,2024,54
Av. Argentina,-70.398976,-23.667122,JAM,7,0,s,26,8,2024,51
Av. Pedro Aguirre Cerda,-70.390769,-23.579352,JAM,7,0,s,26,8,2024,54
Av. Argentina,-70.399042,-23.666425,JAM,7,0,s,26,8,2024,54
Av. Edmundo Pérez Zujovic,-70.396119,-23.630929,JAM,7,0,s,26,8,2024,55
Av. Pedro Aguirre Cerda,-70.389878,-23.589954,JAM,7,0,s,26,8,2024,59
Av. Pedro Aguirre Cerda,-70.391127,-23.575622,JAM,7,0,s,26,8,2024,58
Av. Argentina,-70.395743,-23.656309,JAM,8,0,s,26,8,2024,3
Av. Edmundo Pérez Zujovic,-70.396383,-23.595742,JAM,8,0,s,26,8,2024,2
Av. Pedro Aguirre Cerda,-70.389747,-23.592228,JAM,8,0,s,26,8,2024,0
Av. Edmundo Pérez Zujovic,-70.39226,-23.61628,JAM,8,0,s,26,8,2024,1
Av. Edmundo Pérez Zujovic,-70.396797,-23.595134,JAM,8,0,s,26,8,2024,0
Av. Grecia,-70.405517,-23.666532,JAM,8,0,s,26,8,2024,9
Av. Iquique,-70.394023,-23.628599,JAM,8,0,s,26,8,2024,7
Av. Grecia,-70.403327,-23.65991,JAM,8,0,s,26,8,2024,5
Av. Grecia,-70.403673,-23.663127,JAM,8,0,s,26,8,2024,7
Av. Pedro Aguirre Cerda,-70.389936,-23.589355,JAM,8,0,s,26,8,2024,8
Av. Antonio Rendic,-70.389154,-23.633923,JAM,8,0,s,26,8,2024,8
Av. Grecia,-70.405157,-23.665881,JAM,8,0,s,26,8,2024,10
Av. Edmundo Pérez Zujovic,-70.396963,-23.594338,JAM,8,0,s,26,8,2024,10
Av. Edmundo Pérez Zujovic,-70.396599,-23.591775,JAM,8,0,s,26,8,2024,12
Av. Grecia,-70.402516,-23.65725,JAM,8,0,s,26,8,2024,17
Av. Pedro Aguirre Cerda,-70.390845,-23.570961,JAM,8,0,s,26,8,2024,23
Av. Edmundo Pérez Zujovic,-70.393454,-23.577275,JAM,8,0,s,26,8,2024,32
Av. Edmundo Pérez Zujovic,-70.394316,-23.576293,JAM,8,0,s,26,8,2024,32
Av. Edmundo Pérez Zujovic,-70.396845,-23.595308,JAM,8,0,s,26,8,2024,32
Av. Pedro Aguirre Cerda,-70.390769,-23.568559,JAM,8,0,s,26,8,2024,35
Av. Edmundo Pérez Zujovic,-70.393474,-23.585951,JAM,8,0,s,26,8,2024,46
Av. Pedro Aguirre Cerda,-70.389587,-23.594651,JAM,8,0,s,26,8,2024,54
Av. Pedro Aguirre Cerda,-70.390617,-23.581046,JAM,8,0,s,26,8,2024,51
Av. Edmundo Pérez Zujovic,-70.393213,-23.583086,JAM,9,0,s,26,8,2024,0
Av. Edmundo Pérez Zujovic,-70.395241,-23.574953,JAM,9,0,s,26,8,2024,6
Av. Edmundo Pérez Zujovic,-70.392464,-23.581708,JAM,9,0,s,26,8,2024,18
Av. Edmundo Pérez Zujovic,-70.395928,-23.573939,JAM,9,0,s,26,8,2024,41
Av. Edmundo Pérez Zujovic,-70.393373,-23.583737,JAM,9,0,s,26,8,2024,49
Av. Edmundo Pérez Zujovic,-70.394443,-23.587752,JAM,9,0,s,26,8,2024,49
Av. Edmundo Pérez Zujovic,-70.393682,-23.586422,JAM,10,0,s,26,8,2024,12
Av. Edmundo Pérez Zujovic,-70.392609,-23.581746,JAM,10,0,s,26,8,2024,20
Av. Pedro Aguirre Cerda,-70.389751,-23.591516,JAM,10,0,s,26,8,2024,27
Av. Pedro Aguirre Cerda,-70.389932,-23.589295,JAM,10,0,s,26,8,2024,49
Av. Edmundo Pérez Zujovic,-70.393306,-23.621023,JAM,11,0,s,26,8,2024,11
Av. Edmundo Pérez Zujovic,-70.393962,-23.587052,JAM,11,0,s,26,8,2024,20
Av. Edmundo Pérez Zujovic,-70.394541,-23.587886,JAM,11,0,s,26,8,2024,22
Av. Pedro Aguirre Cerda,-70.389747,-23.591565,JAM,12,0,s,26,8,2024,4
Av. Grecia,-70.407332,-23.670722,JAM,12,0,s,26,8,2024,13
Av. Edmundo Pérez Zujovic,-70.394693,-23.588095,JAM,12,0,s,26,8,2024,17
Av. Edmundo Pérez Zujovic,-70.393446,-23.585886,JAM,12,0,s,26,8,2024,35
Av. Edmundo Pérez Zujovic,-70.393221,-23.583111,JAM,12,0,s,26,8,2024,39
Av. Edmundo Pérez Zujovic,-70.392293,-23.616417,JAM,13,0,s,26,8,2024,49
Av. Pedro Aguirre Cerda,-70.390826,-23.577617,JAM,13,0,s,26,8,2024,56
Nicolás Tirado,-70.391939,-23.592255,JAM,16,0,s,26,8,2024,44
Nicolás Tirado,-70.390813,-23.592207,JAM,16,0,s,26,8,2024,45
Av. Grecia,-70.402894,-23.658452,ACCIDENT,16,0,s,26,8,2024,54
Av. Balmaceda,-70.39759,-23.643299,ACCIDENT,16,0,s,26,8,2024,59
Av. Iquique,-70.39368,-23.635329,JAM,17,0,s,26,8,2024,13
Av. Edmundo Pérez Zujovic,-70.395834,-23.633836,JAM,17,0,s,26,8,2024,21
Av. Argentina,-70.393146,-23.643347,JAM,17,0,s,26,8,2024,29
Av. Edmundo Pérez Zujovic,-70.395997,-23.631428,JAM,17,0,s,26,8,2024,45
Av. Iquique,-70.393386,-23.640331,JAM,18,0,s,26,8,2024,1
Av. Iquique,-70.39344,-23.641086,JAM,18,0,s,26,8,2024,1
Av. Pedro Aguirre Cerda,-70.389592,-23.594502,JAM,18,0,s,26,8,2024,8
Av. Grecia,-70.406713,-23.668857,JAM,18,0,s,26,8,2024,12
Av. Edmundo Pérez Zujovic,-70.395702,-23.633817,JAM,18,0,s,26,8,2024,12
Av. Edmundo Pérez Zujovic,-70.391981,-23.615109,JAM,18,0,s,26,8,2024,17
Av. Pedro Aguirre Cerda,-70.390592,-23.580084,JAM,18,0,s,26,8,2024,21
Av. Óscar Bonilla,-70.379758,-23.575686,JAM,18,0,s,26,8,2024,18
Av. Grecia,-70.403321,-23.659898,JAM,18,0,s,26,8,2024,26
Av. Edmundo Pérez Zujovic,-70.394855,-23.623371,JAM,18,0,s,26,8,2024,25
